"MachineGuid","Cleared","DateTime","Disqualified","Grade","Guid","Held","LetGo","MissedHold","LifeRemainingSeconds","MachineGuid","MaxCombo","Modifiers","Pad","PercentDP","PlayerGuid","ProductID","Air","Chaos","Fakes","Freeze","Hands","Holds","Jumps","Lifts","Mines","Notes","Rolls","Stream","TapsAndHolds","Voltage","Score","StageGuid","SurviveSeconds","AvoidMine","CheckpointHit","CheckpointMiss","HitMine","Miss","W1","W2","W3","W4","W5","Dir","Title","Difficulty","Level","StepsType","_id","_index","_score","_type"
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"1d805b27-bca8-4e7d-ad89-d1bc223cc208",0,0,0,"0.000000",1dda8a3547c7dc6c,15,"1.75x, Overhead",33,"0.038000",3694d7d8e4a00efb,1,"0.000000","0.038002",0,"0.000000",0,0,2,0,0,"42.000000",0,"0.040435",40,"0.019316",47020,"38627a4a-7f80-4084-a58e-9ce873aeb955","18.327078",0,0,0,0,9,12,13,8,7,0,"Songs/16 DDR A/Night of Knights/","ナイト・オブ・ナイツ",Hard,15,"dance-single",kzGGQWsBSsSJMY2ItBmP,stepmania,,result
1dda8a3547c7dc6c,true,"June 9th 2019, 00:00:00.000",0,Tier04,"03487a2d-4602-4648-a1b4-61fd1bd148b9",4,0,0,"0.000000",1dda8a3547c7dc6c,138,"1.5x, Overhead",33,"0.730800",3694d7d8e4a00efb,1,"0.658537","0.730878",0,"1.000000",0,4,40,0,0,"385.000000",0,"0.764103",346,"0.390397",866450,"c5a2fe53-fc87-4baf-a4cb-7c7aee48a264","101.932137",0,0,0,0,3,157,109,73,6,1,"Songs/16 DDR A/Help me, ERINNNNNN!!/","Help me, ERINNNNNN!!",Hard,12,"dance-single",hjGGQWsBSsSJMY2IoBdI,stepmania,,result
1dda8a3547c7dc6c,true,"June 9th 2019, 00:00:00.000",0,Tier04,"c182723f-e72b-49ee-ad7a-b87efdca2526",9,0,0,"0.000000",1dda8a3547c7dc6c,160,"1.75x, Overhead",33,"0.722300",3694d7d8e4a00efb,1,"0.619048","0.722359",0,"1.000000",0,9,20,0,0,"409.000000",0,"0.756563",388,"0.470011",855490,"ea6c1719-dd16-475c-ae6a-ebb7c90024b7","110.772423",0,0,0,0,6,175,130,70,13,4,"Songs/16 DDR A/Rokuchounen to ichiya monogatari/","六兆年と一夜物語",Hard,12,"dance-single","_zGGQWsBSsSJMY2Irhj4",stepmania,,result
1dda8a3547c7dc6c,false,"June 9th 2019, 00:00:00.000",0,Failed,"42c4a931-03bc-4e58-a557-40502303374f",33,0,0,"0.000000",1dda8a3547c7dc6c,121,"2x, Overhead",33,"0.280600",3694d7d8e4a00efb,1,"0.142857","0.280631",0,"0.523810",0,33,15,0,0,"324.000000",0,"0.249645",308,"0.181140",338680,"bfd18437-4c41-43d4-aa81-a99296ce06b0","71.360504",0,0,0,0,17,86,80,106,35,11,"Songs/16 DDR A/Lost one no goukoku/","ロストワンの号哭",Challenge,15,"dance-single",BDGGQWsBSsSJMY2Irxkt,stepmania,,result
1dda8a3547c7dc6c,true,"June 9th 2019, 00:00:00.000",0,Tier06,"e7703833-62f3-4ebf-a913-a8ce0a971f83",19,0,0,"0.000000",1dda8a3547c7dc6c,94,"1.75x, Overhead",33,"0.555700",3694d7d8e4a00efb,1,"0.500000","0.555732",0,"1.000000",0,19,18,0,0,"596.000000",0,"0.533333",579,"0.142431",693670,"d29b0b59-de28-44c7-aaa4-3006bcc7ad96","147.753830",0,0,0,0,20,153,172,192,61,14,"Songs/16 DDR A/Rinnetensei/","輪廻転生",Hard,13,"dance-single",LzGGQWsBSsSJMY2IsBnl,stepmania,,result
1dda8a3547c7dc6c,true,"June 9th 2019, 00:00:00.000",0,Tier05,"8d02844e-faec-4c50-a661-d3a7dbcd5728",13,0,0,"0.000000",1dda8a3547c7dc6c,94,"2.25x, Overhead",33,"0.601800",3694d7d8e4a00efb,1,"0.769231","0.601824",0,"1.000000",0,13,39,0,0,"659.000000",0,"0.603801",620,"0.152303",729790,"4e05be3f-812e-4ac1-ab13-1c1de2b1b30e","151.049881",0,0,0,0,14,210,170,179,61,11,"Songs/16 DDR A/Nou shou sakuretsu girl/","脳漿炸裂ガール",Challenge,14,"dance-single",LDGGQWsBSsSJMY2InRcs,stepmania,,result
1dda8a3547c7dc6c,true,"June 9th 2019, 00:00:00.000",0,Tier06,"15bfe61d-6e7b-4327-a205-c8d3bc1ced7a",21,0,0,"0.000000",1dda8a3547c7dc6c,90,"2x, Overhead",33,"0.542000",3694d7d8e4a00efb,1,"0.428571","0.542017",0,"1.000000",0,21,32,0,0,"470.000000",0,"0.495918",436,"0.188328",672740,"df1acbc7-9a75-41a9-ab38-14a20d808c0e","120.111954",0,0,0,0,9,110,113,155,57,11,"Songs/16 DDR A/Bassdrop Freaks/","ベィスドロップフリークス",Hard,13,"dance-single",NDGGQWsBSsSJMY2InRdy,stepmania,,result
1dda8a3547c7dc6c,false,"June 9th 2019, 00:00:00.000",0,Failed,"cacbb265-01fb-42c7-ae1f-dee25c032e82",5,0,0,"0.000000",1dda8a3547c7dc6c,68,"1.75x, Overhead",33,"0.337500",3694d7d8e4a00efb,1,"0.375000","0.337573",0,"0.416667",0,5,12,0,0,"338.000000",0,"0.345972",326,"0.116792",409940,"47d2df52-751e-4044-ac7f-dee423965d3f","76.539871",0,0,0,0,19,114,98,84,29,16,"Songs/16 DDR A/Houkago stride/","放課後ストライド",Hard,15,"dance-single",OjGGQWsBSsSJMY2InRen,stepmania,,result
1dda8a3547c7dc6c,false,"June 9th 2019, 00:00:00.000",0,Failed,"40bdf6dd-828a-458b-a894-9039c667d566",3,0,0,"0.000000",1dda8a3547c7dc6c,56,"1.5x, Overhead",33,"0.204500",3694d7d8e4a00efb,1,"0.187500","0.204557",0,"0.250000",0,3,6,0,0,"254.000000",0,"0.180095",248,"0.083786",257610,"f93f9e7b-f72b-449d-a193-8e096cbe1497","60.902557",0,0,0,0,16,57,53,100,38,6,"Songs/16 DDR A/Houkago stride/","放課後ストライド",Hard,15,"dance-single",PzGGQWsBSsSJMY2InRfN,stepmania,,result
1dda8a3547c7dc6c,true,"June 9th 2019, 00:00:00.000",0,Tier04,"463b6643-4bab-4821-a625-8f1f96375c6e",7,0,0,"0.000000",1dda8a3547c7dc6c,333,"2.25x, Overhead",33,"0.762700",3694d7d8e4a00efb,1,"0.815789","0.762745",0,"1.000000",0,7,38,0,0,"371.000000",0,"0.803235",333,"1.000000",889590,"cd46bb38-aa46-4db9-a6a0-570d062daa97","94.819092",0,0,0,0,0,165,103,56,9,0,"Songs/16 DDR A/Youkoso Japari Park e/","ようこそジャパリパークへ",Challenge,12,"dance-single",bzGGQWsBSsSJMY2IqRhg,stepmania,,result
1dda8a3547c7dc6c,false,"June 9th 2019, 00:00:00.000",0,Failed,"79fb8511-dfea-4bef-ac4a-c5b9f9fdd161",4,0,0,"0.000000",1dda8a3547c7dc6c,55,"1.5x, Overhead",33,"0.167500",3694d7d8e4a00efb,1,"0.139535","0.167563",0,"0.266667",0,4,13,0,0,"225.000000",0,"0.159326",215,"0.057743",205110,"e959f040-0162-47a6-a216-fce8e5cd26cf","47.762230",0,0,0,0,15,63,52,70,26,8,"Songs/16 DDR A/Hatsune Miku no shoushitsu/","初音ミクの消失",Challenge,15,"dance-single",RjGGQWsBSsSJMY2Inhct,stepmania,,result
